full_name,party,first_name,last_name
Jeff Sessions,R,jeff,sessions
Luther Strange,R,luther,strange
Doug Jones,D,doug,jones
Richard Shelby,R,richard,shelby
Dan Sullivan,R,dan,sullivan
Lisa Murkowski,R,lisa,murkowski
Jeff Flake,R,jeff,flake
John McCain,R,john,mccain
Jon Kyl,R,jon,kyl
Tom Cotton,R,tom,cotton
John Boozman,R,john,boozman
Dianne Feinstein,D,dianne,feinstein
Kamala Harris,D,kamala,harris
Cory Gardner,R,cory,gardner
Michael Bennet,D,michael,bennet
Chris Murphy,D,chris,murphy
Richard Blumenthal,D,richard,blumenthal
Tom Carper,D,tom,carper
Chris Coons,D,chris,coons
Bill Nelson,D,bill,nelson
Marco Rubio,R,marco,rubio
David Perdue,R,david,perdue
Johnny Isakson,R,johnny,isakson
Mazie Hirono,D,mazie,hirono
Brian Schatz,D,brian,schatz
Jim Risch,R,jim,risch
Mike Crapo,R,mike,crapo
Dick Durbin,D,dick,durbin
Tammy Duckworth,D,tammy,duckworth
Joe Donnelly,D,joe,donnelly
Todd Young,R,todd,young
Joni Ernst,R,joni,ernst
Chuck Grassley,R,chuck,grassley
Pat Roberts,R,pat,roberts
Jerry Moran,R,jerry,moran
Mitch McConnell,R,mitch,mcconnell
Rand Paul,R,rand,paul
Bill Cassidy,R,bill,cassidy
John Kennedy,R,john,kennedy
Angus King,D,angus,king
Susan Collins,R,susan,collins
Ben Cardin,D,ben,cardin
Chris Van Hollen,D,chris,hollen
Elizabeth Warren,D,elizabeth,warren
Ed Markey,D,ed,markey
Debbie Stabenow,D,debbie,stabenow
Gary Peters,D,gary,peters
Amy Klobuchar,D,amy,klobuchar
Al Franken,D,al,franken
Tina Smith,D,tina,smith
Roger Wicker,R,roger,wicker
Thad Cochran,R,thad,cochran
Cindy Hyde-Smith,R,cindy,hyde-smith
Claire McCaskill,D,claire,mccaskill
Roy Blunt,R,roy,blunt
Jon Tester,D,jon,tester
Steve Daines,R,steve,daines
Deb Fischer,R,deb,fischer
Ben Sasse,R,ben,sasse
Dean Heller,R,dean,heller
Catherine Cortez Masto,D,catherine,masto
Jeanne Shaheen,D,jeanne,shaheen
Maggie Hassan,D,maggie,hassan
Bob Menendez,D,bob,menendez
Cory Booker,D,cory,booker
Martin Heinrich,D,martin,heinrich
Tom Udall,D,tom,udall
Kirsten Gillibrand,D,kirsten,gillibrand
Chuck Schumer,D,chuck,schumer
Thom Tillis,R,thom,tillis
Richard Burr,R,richard,burr
John Hoeven,R,john,hoeven
Sherrod Brown,D,sherrod,brown
Rob Portman,R,rob,portman
Jim Inhofe,R,jim,inhofe
James Lankford,R,james,lankford
Jeff Merkley,D,jeff,merkley
Ron Wyden,D,ron,wyden
Bob Casey Jr.,D,bob,casey
Pat Toomey,R,pat,toomey
Sheldon Whitehouse,D,sheldon,whitehouse
Jack Reed,D,jack,reed
Lindsey Graham,R,lindsey,graham
Tim Scott,R,tim,scott
Mike Rounds,R,mike,rounds
John Thune,R,john,thune
Bob Corker,R,bob,corker
Lamar Alexander,R,lamar,alexander
Ted Cruz,R,ted,cruz
John Cornyn,R,john,cornyn
Orrin Hatch,R,orrin,hatch
Mike Lee,R,mike,lee
Bernie Sanders,D,bernie,sanders
Patrick Leahy,D,patrick,leahy
Tim Kaine,D,tim,kaine
Mark Warner,D,mark,warner
Maria Cantwell,D,maria,cantwell
Patty Murray,D,patty,murray
Joe Manchin,D,joe,manchin
Shelley Moore Capito,R,shelley,capito
Tammy Baldwin,D,tammy,baldwin
Ron Johnson,R,ron,johnson
John Barrasso,R,john,barrasso
Mike Enzi,R,mike,enzi
Bradley Byrne,R,bradley,byrne
Martha Roby,R,martha,roby
Mike Rogers,R,mike,rogers
Robert Aderholt,R,robert,aderholt
Mo Brooks,R,mo,brooks
Gary Palmer,R,gary,palmer
Terri Sewell,D,terri,sewell
Don Young,R,don,young
Tom O'Halleran,D,tom,o'halleran
Martha McSally,R,martha,mcsally
Raul Grijalva,D,raul,grijalva
Paul Gosar,R,paul,gosar
Andy Biggs,R,andy,biggs
David Schweikert,R,david,schweikert
Ruben Gallego,D,ruben,gallego
Trent Franks,R,trent,franks
Debbie Lesko,R,debbie,lesko
Kyrsten Sinema,D,kyrsten,sinema
Rick Crawford,R,rick,crawford
French Hill,R,french,hill
Steve Womack,R,steve,womack
Bruce Westerman,R,bruce,westerman
Doug LaMalfa,R,doug,lamalfa
Jared Huffman,D,jared,huffman
John Garamendi,D,john,garamendi
Tom McClintock,R,tom,mcclintock
Mike Thompson,D,mike,thompson
Doris Matsui,D,doris,matsui
Ami Bera,D,ami,bera
Paul Cook,R,paul,cook
Jerry McNerney,D,jerry,mcnerney
Jeff Denham,R,jeff,denham
Mark DeSaulnier,D,mark,desaulnier
Nancy Pelosi,D,nancy,pelosi
Barbara Lee,D,barbara,lee
Jackie Speier,D,jackie,speier
Eric Swalwell,D,eric,swalwell
Jim Costa,D,jim,costa
Ro Khanna,D,ro,khanna
Anna Eshoo,D,anna,eshoo
Zoe Lofgren,D,zoe,lofgren
Jimmy Panetta,D,jimmy,panetta
David Valadao,R,david,valadao
Devin Nunes,R,devin,nunes
Kevin McCarthy,R,kevin,mccarthy
Salud Carbajal,D,salud,carbajal
Steve Knight,R,steve,knight
Julia Brownley,D,julia,brownley
Judy Chu,D,judy,chu
Adam Schiff,D,adam,schiff
Tony Cardenas,D,tony,cardenas
Brad Sherman,D,brad,sherman
Pete Aguilar,D,pete,aguilar
Grace Napolitano,D,grace,napolitano
Ted Lieu,D,ted,lieu
Xavier Becerra,D,xavier,becerra
Jimmy Gomez,D,jimmy,gomez
Norma Torres,D,norma,torres
Raul Ruiz,D,raul,ruiz
Karen Bass,D,karen,bass
Linda Sanchez,D,linda,sanchez
Ed Royce,R,ed,royce
Lucille Roybal-Allard,D,lucille,roybal-allard
Mark Takano,D,mark,takano
Ken Calvert,R,ken,calvert
Maxine Waters,D,maxine,waters
Nanette Barragan,D,nanette,barragan
Mimi Walters,R,mimi,walters
Lou Correa,D,lou,correa
Alan Lowenthal,D,alan,lowenthal
Dana Rohrabacher,R,dana,rohrabacher
Darrell Issa,R,darrell,issa
Duncan D. Hunter,R,duncan,hunter
Juan Vargas,D,juan,vargas
Scott Peters,D,scott,peters
Susan Davis,D,susan,davis
Diana DeGette,D,diana,degette
Jared Polis,D,jared,polis
Scott Tipton,R,scott,tipton
Ken Buck,R,ken,buck
Doug Lamborn,R,doug,lamborn
Mike Coffman,R,mike,coffman
Ed Perlmutter,D,ed,perlmutter
John B. Larson,D,john,larson
Joe Courtney,D,joe,courtney
Rosa DeLauro,D,rosa,delauro
Jim Himes,D,jim,himes
Elizabeth Esty,D,elizabeth,esty
Lisa Blunt Rochester,D,lisa,rochester
Matt Gaetz,R,matt,gaetz
Neal Dunn,R,neal,dunn
Ted Yoho,R,ted,yoho
John Rutherford,R,john,rutherford
Al Lawson,D,al,lawson
Ron DeSantis,R,ron,desantis
Stephanie Murphy,D,stephanie,murphy
Bill Posey,R,bill,posey
Darren Soto,D,darren,soto
Val Demings,D,val,demings
Daniel Webster,R,daniel,webster
Gus Bilirakis,R,gus,bilirakis
Charlie Crist,D,charlie,crist
Kathy Castor,D,kathy,castor
Dennis A. Ross,R,dennis,ross
Vern Buchanan,R,vern,buchanan
Tom Rooney,R,tom,rooney
Brian Mast,R,brian,mast
Francis Rooney,R,francis,rooney
Alcee Hastings,D,alcee,hastings
Lois Frankel,D,lois,frankel
Ted Deutch,D,ted,deutch
Debbie Wasserman Schultz,D,debbie,schultz
Frederica Wilson,D,frederica,wilson
Mario Diaz-Balart,R,mario,diaz-balart
Carlos Curbelo,R,carlos,curbelo
Ileana Ros-Lehtinen,R,ileana,ros-lehtinen
Buddy Carter,R,buddy,carter
Sanford Bishop,D,sanford,bishop
Drew Ferguson,R,drew,ferguson
Hank Johnson,D,hank,johnson
John Lewis,D,john,lewis
Tom Price,R,tom,price
Karen Handel,R,karen,handel
Rob Woodall,R,rob,woodall
Austin Scott,R,austin,scott
Doug Collins,R,doug,collins
Jody Hice,R,jody,hice
Barry Loudermilk,R,barry,loudermilk
Rick W. Allen,R,rick,allen
David Scott,D,david,scott
Tom Graves,R,tom,graves
Colleen Hanabusa,D,colleen,hanabusa
Tulsi Gabbard,D,tulsi,gabbard
Raul Labrador,R,raul,labrador
Mike Simpson,R,mike,simpson
Bobby Rush,D,bobby,rush
Robin Kelly,D,robin,kelly
Dan Lipinski,D,dan,lipinski
Luis Gutierrez,D,luis,gutierrez
Mike Quigley,D,mike,quigley
Peter Roskam,R,peter,roskam
Danny K. Davis,D,danny,davis
Raja Krishnamoorthi,D,raja,krishnamoorthi
Jan Schakowsky,D,jan,schakowsky
Brad Schneider,D,brad,schneider
Bill Foster,D,bill,foster
Mike Bost,R,mike,bost
Rodney Davis,R,rodney,davis
Randy Hultgren,R,randy,hultgren
John Shimkus,R,john,shimkus
Adam Kinzinger,R,adam,kinzinger
Cheri Bustos,D,cheri,bustos
Darin LaHood,R,darin,lahood
Pete Visclosky,D,pete,visclosky
Jackie Walorski,R,jackie,walorski
Jim Banks,R,jim,banks
Todd Rokita,R,todd,rokita
Susan Brooks,R,susan,brooks
Luke Messer,R,luke,messer
Andre Carson,D,andre,carson
Larry Bucshon,R,larry,bucshon
Trey Hollingsworth,R,trey,hollingsworth
Rod Blum,R,rod,blum
Dave Loebsack,D,dave,loebsack
David Young,R,david,young
Steve King,R,steve,king
Roger Marshall,R,roger,marshall
Lynn Jenkins,R,lynn,jenkins
Kevin Yoder,R,kevin,yoder
Mike Pompeo,R,mike,pompeo
Ron Estes,R,ron,estes
James Comer,R,james,comer
Brett Guthrie,R,brett,guthrie
John Yarmuth,D,john,yarmuth
Thomas Massie,R,thomas,massie
Hal Rogers,R,hal,rogers
Andy Barr,R,andy,barr
Steve Scalise,R,steve,scalise
Cedric Richmond,D,cedric,richmond
Clay Higgins,R,clay,higgins
Mike Johnson,R,mike,johnson
Ralph Abraham,R,ralph,abraham
Garret Graves,R,garret,graves
Chellie Pingree,D,chellie,pingree
Bruce Poliquin,R,bruce,poliquin
Andy Harris,R,andy,harris
Dutch Ruppersberger,D,dutch,ruppersberger
John Sarbanes,D,john,sarbanes
Anthony G. Brown,D,anthony,brown
Steny Hoyer,D,steny,hoyer
John Delaney,D,john,delaney
Elijah Cummings,D,elijah,cummings
Jamie Raskin,D,jamie,raskin
Richard Neal,D,richard,neal
Jim McGovern,D,jim,mcgovern
Niki Tsongas,D,niki,tsongas
Joseph P. Kennedy III,D,joseph,kennedy
Katherine Clark,D,katherine,clark
Seth Moulton,D,seth,moulton
Mike Capuano,D,mike,capuano
Stephen F. Lynch,D,stephen,lynch
Bill Keating,D,bill,keating
Jack Bergman,R,jack,bergman
Bill Huizenga,R,bill,huizenga
Justin Amash,R,justin,amash
John Moolenaar,R,john,moolenaar
Dan Kildee,D,dan,kildee
Fred Upton,R,fred,upton
Tim Walberg,R,tim,walberg
Mike Bishop,R,mike,bishop
Sander Levin,D,sander,levin
Paul Mitchell,R,paul,mitchell
Dave Trott,R,dave,trott
Debbie Dingell,D,debbie,dingell
John Conyers,D,john,conyers
Brenda Jones,D,brenda,jones
Brenda Lawrence,D,brenda,lawrence
Tim Walz,D,tim,walz
Jason Lewis,R,jason,lewis
Erik Paulsen,R,erik,paulsen
Betty McCollum,D,betty,mccollum
Keith Ellison,D,keith,ellison
Tom Emmer,R,tom,emmer
Collin Peterson,D,collin,peterson
Rick Nolan,D,rick,nolan
Trent Kelly,R,trent,kelly
Bennie Thompson,D,bennie,thompson
Gregg Harper,R,gregg,harper
Steven Palazzo,R,steven,palazzo
Lacy Clay,D,lacy,clay
Ann Wagner,R,ann,wagner
Blaine Luetkemeyer,R,blaine,luetkemeyer
Vicky Hartzler,R,vicky,hartzler
Emanuel Cleaver,D,emanuel,cleaver
Sam Graves,R,sam,graves
Billy Long,R,billy,long
Jason T. Smith,R,jason,smith
Ryan Zinke,R,ryan,zinke
Greg Gianforte,R,greg,gianforte
Jeff Fortenberry,R,jeff,fortenberry
Don Bacon,R,don,bacon
Adrian Smith,R,adrian,smith
Dina Titus,D,dina,titus
Mark Amodei,R,mark,amodei
Jacky Rosen,D,jacky,rosen
Ruben Kihuen,D,ruben,kihuen
Carol Shea-Porter,D,carol,shea-porter
Ann McLane Kuster,D,ann,kuster
Donald Norcross,D,donald,norcross
Frank LoBiondo,R,frank,lobiondo
Tom MacArthur,R,tom,macarthur
Chris Smith,R,chris,smith
Josh Gottheimer,D,josh,gottheimer
Frank Pallone,D,frank,pallone
Leonard Lance,R,leonard,lance
Albio Sires,D,albio,sires
Bill Pascrell,D,bill,pascrell
Donald Payne Jr.,D,donald,payne
Rodney Frelinghuysen,R,rodney,frelinghuysen
Bonnie Watson Coleman,D,bonnie,coleman
Michelle Lujan Grisham,D,michelle,grisham
Steve Pearce,R,steve,pearce
Ben Ray Lujan,D,ben,lujan
Lee Zeldin,R,lee,zeldin
Peter T. King,R,peter,king
Thomas Suozzi,D,thomas,suozzi
Kathleen Rice,D,kathleen,rice
Gregory Meeks,D,gregory,meeks
Grace Meng,D,grace,meng
Nydia Velazquez,D,nydia,velazquez
Hakeem Jeffries,D,hakeem,jeffries
Yvette Clarke,D,yvette,clarke
Jerrold Nadler,D,jerrold,nadler
Dan Donovan,R,dan,donovan
Carolyn Maloney,D,carolyn,maloney
Adriano Espaillat,D,adriano,espaillat
Joseph Crowley,D,joseph,crowley
Jose E. Serrano,D,jose,serrano
Eliot Engel,D,eliot,engel
Nita Lowey,D,nita,lowey
Sean Patrick Maloney,D,sean,maloney
John Faso,R,john,faso
Paul Tonko,D,paul,tonko
Elise Stefanik,R,elise,stefanik
Claudia Tenney,R,claudia,tenney
Tom Reed,R,tom,reed
John Katko,R,john,katko
Louise Slaughter,D,louise,slaughter
Joseph D. Morelle,D,joseph,morelle
Brian Higgins,D,brian,higgins
Chris Collins,R,chris,collins
G. K. Butterfield,D,g.,butterfield
George Holding,R,george,holding
Walter B. Jones Jr.,R,walter,jones
David Price,D,david,price
Virginia Foxx,R,virginia,foxx
Mark Walker,R,mark,walker
David Rouzer,R,david,rouzer
Richard Hudson,R,richard,hudson
Robert Pittenger,R,robert,pittenger
Patrick McHenry,R,patrick,mchenry
Mark Meadows,R,mark,meadows
Alma Adams,D,alma,adams
Ted Budd,R,ted,budd
Kevin Cramer,R,kevin,cramer
Steve Chabot,R,steve,chabot
Brad Wenstrup,R,brad,wenstrup
Joyce Beatty,D,joyce,beatty
Jim Jordan,R,jim,jordan
Bob Latta,R,bob,latta
Bill Johnson,R,bill,johnson
Bob Gibbs,R,bob,gibbs
Warren Davidson,R,warren,davidson
Marcy Kaptur,D,marcy,kaptur
Mike Turner,R,mike,turner
Marcia Fudge,D,marcia,fudge
Pat Tiberi,R,pat,tiberi
Troy Balderson,R,troy,balderson
Tim Ryan,D,tim,ryan
David Joyce,R,david,joyce
Steve Stivers,R,steve,stivers
Jim Renacci,R,jim,renacci
Jim Bridenstine,R,jim,bridenstine
Kevin Hern,R,kevin,hern
Markwayne Mullin,R,markwayne,mullin
Frank Lucas,R,frank,lucas
Tom Cole,R,tom,cole
Steve Russell,R,steve,russell
Suzanne Bonamici,D,suzanne,bonamici
Greg Walden,R,greg,walden
Earl Blumenauer,D,earl,blumenauer
Peter DeFazio,D,peter,defazio
Kurt Schrader,D,kurt,schrader
Bob Brady,D,bob,brady
Dwight Evans,D,dwight,evans
Mike Kelly,R,mike,kelly
Scott Perry,R,scott,perry
Glenn Thompson,R,glenn,thompson
Ryan Costello,R,ryan,costello
Pat Meehan,R,pat,meehan
Mary Gay Scanlon,D,mary,scanlon
Brian Fitzpatrick,R,brian,fitzpatrick
Bill Shuster,R,bill,shuster
Tom Marino,R,tom,marino
Lou Barletta,R,lou,barletta
Keith Rothfus,R,keith,rothfus
Brendan Boyle,D,brendan,boyle
Michael F. Doyle,D,michael,doyle
Charlie Dent,R,charlie,dent
Susan Wild,D,susan,wild
Lloyd Smucker,R,lloyd,smucker
Matt Cartwright,D,matt,cartwright
Tim Murphy,R,tim,murphy
Conor Lamb,D,conor,lamb
David Cicilline,D,david,cicilline
James Langevin,D,james,langevin
Mark Sanford,R,mark,sanford
Joe Wilson,R,joe,wilson
Jeff Duncan,R,jeff,duncan
Trey Gowdy,R,trey,gowdy
Mick Mulvaney,R,mick,mulvaney
Ralph Norman,R,ralph,norman
Jim Clyburn,D,jim,clyburn
Tom Rice,R,tom,rice
Kristi Noem,R,kristi,noem
Phil Roe,R,phil,roe
Jimmy Duncan,R,jimmy,duncan
Chuck Fleischmann,R,chuck,fleischmann
Scott DesJarlais,R,scott,desjarlais
Jim Cooper,D,jim,cooper
Diane Black,R,diane,black
Marsha Blackburn,R,marsha,blackburn
David Kustoff,R,david,kustoff
Steve Cohen,D,steve,cohen
Louie Gohmert,R,louie,gohmert
Ted Poe,R,ted,poe
Sam Johnson,R,sam,johnson
John Ratcliffe,R,john,ratcliffe
Jeb Hensarling,R,jeb,hensarling
Joe Barton,R,joe,barton
John Culberson,R,john,culberson
Kevin Brady,R,kevin,brady
Al Green,D,al,green
Michael McCaul,R,michael,mccaul
Mike Conaway,R,mike,conaway
Kay Granger,R,kay,granger
Mac Thornberry,R,mac,thornberry
Randy Weber,R,randy,weber
Vicente Gonzalez,D,vicente,gonzalez
Beto O'Rourke,D,beto,o'rourke
Bill Flores,R,bill,flores
Sheila Jackson Lee,D,sheila,lee
Jodey Arrington,R,jodey,arrington
Joaquin Castro,D,joaquin,castro
Lamar S. Smith,R,lamar,smith
Pete Olson,R,pete,olson
Will Hurd,R,will,hurd
Kenny Marchant,R,kenny,marchant
Roger Williams,R,roger,williams
Michael Burgess,R,michael,burgess
Blake Farenthold,R,blake,farenthold
Michael Cloud,R,michael,cloud
Henry Cuellar,D,henry,cuellar
Gene Green,D,gene,green
Eddie Bernice Johnson,D,eddie,johnson
John Carter,R,john,carter
Pete Sessions,R,pete,sessions
Marc Veasey,D,marc,veasey
Filemon Vela Jr.,D,filemon,vela
Lloyd Doggett,D,lloyd,doggett
Brian Babin,R,brian,babin
Rob Bishop,R,rob,bishop
Chris Stewart,R,chris,stewart
Jason Chaffetz,R,jason,chaffetz
John Curtis,R,john,curtis
Mia Love,R,mia,love
Peter Welch,D,peter,welch
Rob Wittman,R,rob,wittman
Scott Taylor,R,scott,taylor
Bobby Scott,D,bobby,scott
Donald McEachin,D,donald,mceachin
Tom Garrett Jr.,R,tom,garrett
Bob Goodlatte,R,bob,goodlatte
Dave Brat,R,dave,brat
Don Beyer,D,don,beyer
Morgan Griffith,R,morgan,griffith
Barbara Comstock,R,barbara,comstock
Gerry Connolly,D,gerry,connolly
Suzan DelBene,D,suzan,delbene
Rick Larsen,D,rick,larsen
Jaime Herrera Beutler,R,jaime,beutler
Dan Newhouse,R,dan,newhouse
Cathy McMorris Rodgers,R,cathy,rodgers
Derek Kilmer,D,derek,kilmer
Pramila Jayapal,D,pramila,jayapal
Dave Reichert,R,dave,reichert
Adam Smith,D,adam,smith
Dennis Heck,D,dennis,heck
David McKinley,R,david,mckinley
Alex Mooney,R,alex,mooney
Evan Jenkins,R,evan,jenkins
Paul Ryan,R,paul,ryan
Mark Pocan,D,mark,pocan
Ron Kind,D,ron,kind
Gwen Moore,D,gwen,moore
Jim Sensenbrenner,R,jim,sensenbrenner
Glenn Grothman,R,glenn,grothman
Sean Duffy,R,sean,duffy
Mike Gallagher,R,mike,gallagher
Liz Cheney,R,liz,cheney
Amata Coleman Radewagen,R,amata,radewagen
Eleanor Holmes Norton,D,eleanor,norton
Madeleine Bordallo,D,madeleine,bordallo
Gregorio Sablan,D,gregorio,sablan
Stacey Plaskett,D,stacey,plaskett
Mark Kelly,D,mark,kelly
Rick Scott,R,rick,scott
Kelly Loeffler,R,kelly,loeffler
Mike Braun,R,mike,braun
Josh Hawley,R,josh,hawley
Mitt Romney,R,mitt,romney
Ann Kirkpatrick,D,ann,kirkpatrick
Greg Stanton,D,greg,stanton
Josh Harder,D,josh,harder
TJ Cox,D,tj,cox
Katie Hill,D,katie,hill
Mike Garcia,R,mike,garcia
Gil Cisneros,D,gil,cisneros
Katie Porter,D,katie,porter
Harley Rouda,D,harley,rouda
Mike Levin,D,mike,levin
Joe Neguse,D,joe,neguse
Jason Crow,D,jason,crow
Jahana Hayes,D,jahana,hayes
Michael Waltz,R,michael,waltz
Ross Spano,R,ross,spano
Greg Steube,R,greg,steube
Debbie Mucarsel-Powell,D,debbie,mucarsel-powell
Donna Shalala,D,donna,shalala
Kwanza Hall,D,kwanza,hall
Lucy McBath,D,lucy,mcbath
Ed Case,D,ed,case
Russ Fulcher,R,russ,fulcher
"Jesus ""Chuy"" Garcia",D,jesus,garcia
Sean Casten,D,sean,casten
Lauren Underwood,D,lauren,underwood
Jim Baird,R,jim,baird
Greg Pence,R,greg,pence
Abby Finkenauer,D,abby,finkenauer
Cindy Axne,D,cindy,axne
Steve Watkins,R,steve,watkins
Sharice Davids,D,sharice,davids
Jared Golden,D,jared,golden
David Trone,D,david,trone
Kweisi Mfume,D,kweisi,mfume
Lori Trahan,D,lori,trahan
Joe Kennedy III,D,joe,kennedy
Ayanna Pressley,D,ayanna,pressley
Elissa Slotkin,D,elissa,slotkin
Andy Levin,D,andy,levin
Haley Stevens,D,haley,stevens
Rashida Tlaib,D,rashida,tlaib
Jim Hagedorn,R,jim,hagedorn
Angie Craig,D,angie,craig
Dean Phillips,D,dean,phillips
Ilhan Omar,D,ilhan,omar
Pete Stauber,R,pete,stauber
Michael Guest,R,michael,guest
Jason Smith,R,jason,smith
Susie Lee,D,susie,lee
Steven Horsford,D,steven,horsford
Chris Pappas,D,chris,pappas
Andy Kim,D,andy,kim
Tom Malinowski,D,tom,malinowski
Mikie Sherrill,D,mikie,sherrill
Deb Haaland,D,deb,haaland
Xochitl Torres Small,D,xochitl,small
Jerry Nadler,D,jerry,nadler
Max Rose,D,max,rose
Alexandria Ocasio-Cortez,D,alexandria,ocasio-cortez
Antonio Delgado,D,antonio,delgado
Anthony Brindisi,D,anthony,brindisi
Joseph Morelle,D,joseph,morelle
Chris Jacobs,R,chris,jacobs
Greg Murphy,R,greg,murphy
Dan Bishop,R,dan,bishop
Kelly Armstrong,R,kelly,armstrong
Anthony Gonzalez,R,anthony,gonzalez
Kendra Horn,D,kendra,horn
Madeleine Dean,D,madeleine,dean
Chrissy Houlahan,D,chrissy,houlahan
Dan Meuser,R,dan,meuser
Fred Keller,R,fred,keller
John Joyce,R,john,joyce
Guy Reschenthaler,R,guy,reschenthaler
Mike Doyle,D,mike,doyle
Joe Cunningham,D,joe,cunningham
William Timmons,R,william,timmons
Dusty Johnson,R,dusty,johnson
Tim Burchett,R,tim,burchett
John Rose,R,john,rose
Mark E. Green,R,mark,green
Dan Crenshaw,R,dan,crenshaw
Van Taylor,R,van,taylor
Lance Gooden,R,lance,gooden
Ron Wright,R,ron,wright
Lizzie Fletcher,D,lizzie,fletcher
Veronica Escobar,D,veronica,escobar
Chip Roy,R,chip,roy
Michael C. Burgess,R,michael,burgess
Sylvia Garcia,D,sylvia,garcia
Colin Allred,D,colin,allred
Ben McAdams,D,ben,mcadams
Elaine Luria,D,elaine,luria
Denver Riggleman,R,denver,riggleman
Ben Cline,R,ben,cline
Abigail Spanberger,D,abigail,spanberger
Jennifer Wexton,D,jennifer,wexton
Kim Schrier,D,kim,schrier
Denny Heck,D,denny,heck
Carol Miller,R,carol,miller
Bryan Steil,R,bryan,steil
Tom Tiffany,R,tom,tiffany
Michael San Nicolas,D,michael,nicolas
