twitter_account,twitter_user,full_name,party
RalphNorman,Ralph Norman,Ralph Norman,R
LouieGohmertTX1,Louie Gohmert,Louie Gohmert,R
RepDanKildee,Rep. Dan Kildee,Dan Kildee,D
RepRubenGallego,Ruben Gallego,Ruben Gallego,D
Kilili_Sablan,Del. Kilili Sablan,Gregorio Sablan,D
MarthaMcSallyAZ,Martha McSally,Martha McSally,R
barrforcongress,Andy Barr,Andy Barr,R
SenAmyKlobuchar,Senator Amy Klobuchar,Amy Klobuchar,D
DanSullivan_AK,Dan Sullivan,Dan Sullivan,R
RonWyden,Ron Wyden,Ron Wyden,D
KenCalvert,Ken Calvert,Ken Calvert,R
RonJohnsonWI,Ron Johnson,Ron Johnson,R
RepDanCrenshaw,Rep. Dan Crenshaw,Dan Crenshaw,R
JeffFortenberry,Jeff Fortenberry,Jeff Fortenberry,R
BenMcAdams,Ben McAdams,Ben McAdams,D
RepPittenger,Congressman Robert Pittenger,Robert Pittenger,R
RepRyanZinke,Ryan Zinke,Ryan Zinke,R
louiseslaughter,Louise Slaughter,Louise Slaughter,D
KatherineClark,Katherine Clark,Katherine Clark,D
RepJuanVargas,Rep. Juan Vargas,Juan Vargas,D
Eshoo4Congress,Eshoo for Congress,Anna Eshoo,D
TomGravesGA14,Archive: Tom Graves,Tom Graves,R
repkevinhern,Kevin Hern,Kevin Hern,R
RepLawrence,Brenda Lawrence,Brenda Lawrence,D
RepCohen,Steve Cohen,Steve Cohen,D
Axne4Congress,Cindy Axne,Cindy Axne,D
RepJoeMorelle,Joe Morelle,Joseph D. Morelle,D
grace4congress,Grace Napolitano,Grace Napolitano,D
RepMarcyKaptur,Marcy Kaptur,Marcy Kaptur,D
SenBobCorker,Senator Bob Corker,Bob Corker,R
RepGwenMoore,Rep. Gwen Moore,Gwen Moore,D
dankildee,Dan Kildee,Dan Kildee,D
RepDavidTrone,Rep. David Trone,David Trone,D
RepRaulGrijalva,Raul M. Grijalva,Raul Grijalva,D
MarthaMcSally,Martha McSally,Martha McSally,R
RepSherrill,Rep. Mikie Sherrill,Mikie Sherrill,D
michaelcburgess,"Michael Burgess, MD",Michael Burgess,R
ToddYoungIN,Todd Young,Todd Young,R
DanLipinski,Dan Lipinski,Dan Lipinski,D
PattyMurray,Senator Patty Murray,Patty Murray,D
JodeyArrington,Jodey Arrington,Jodey Arrington,R
gillibrandny,Sen. Kirsten Gillibrand,Kirsten Gillibrand,D
RepWaltzPress,Congressman Waltz Press,Michael Waltz,R
AyannaPressley,Ayanna Pressley,Ayanna Pressley,D
SenJohnHoeven,Senator John Hoeven,John Hoeven,R
ChrisCoons,Senator Chris Coons,Chris Coons,D
repmarkpocan,Rep. Mark Pocan,Mark Pocan,D
RodneyDavis,US Rep Rodney Davis,Rodney Davis,R
RepPeteKing,Pete King,Peter T. King,R
SenBrianSchatz,Senator Brian Schatz,Brian Schatz,D
RepTomGarrett,Tom Garrett,Tom Garrett Jr.,R
MarthaRobyAL,Martha Roby,Martha Roby,R
RepTimBurchett,Rep. Tim Burchett,Tim Burchett,R
RepTjCox,Congressman TJ Cox,TJ Cox,D
LoriTrahanMA,Lori Trahan,Lori Trahan,D
SenCoryGardner,Cory Gardner,Cory Gardner,R
RepSylviaGarcia,Rep. Sylvia Garcia,Sylvia Garcia,D
RepValDemings,Rep. Val Demings,Val Demings,D
RepJerryNadler,Rep. Nadler,Jerry Nadler,D
replouiegohmert,Louie Gohmert,Louie Gohmert,R
EleanorNorton,Eleanor #DCStatehood Holmes Norton,Eleanor Holmes Norton,D
MittRomney,Mitt Romney,Mitt Romney,R
JahanaHayesCT,Jahana Hayes,Jahana Hayes,D
SenJeffMerkley,Senator Jeff Merkley,Jeff Merkley,D
RepMcCaul,Michael McCaul,Michael McCaul,R
JoeCunninghamSC,Joe Cunningham,Joe Cunningham,D
RepEdRoyce,Ed Royce,Ed Royce,R
leezeldin,Lee Zeldin,Lee Zeldin,R
RepMarciaFudge,Former Rep. Marcia L. Fudge,Marcia Fudge,D
JacksonLeeTX18,Sheila Jackson Lee,Sheila Jackson Lee,D
JackBergman_MI1,Jack Bergman,Jack Bergman,R
RepCasten,Rep. Sean Casten,Sean Casten,D
RepJoshG,Rep Josh Gottheimer,Josh Gottheimer,D
RepDaveJoyce,Dave Joyce,David Joyce,R
Risch4Idaho,Jim Risch for US Senate,Jim Risch,R
ABrindisiNY,Anthony Brindisi,Anthony Brindisi,D
RepDonBeyer,Rep. Don Beyer,Don Beyer,D
Abby4Iowa,Abby Finkenauer,Abby Finkenauer,D
Schneider4IL10,Brad Schneider,Brad Schneider,D
RepMikeLevin,Rep. Mike Levin,Mike Levin,D
vgescobar,Veronica Escobar,Veronica Escobar,D
WydenPress,WydenPress,Ron Wyden,D
RepSpanberger,Rep. Abigail Spanberger,Abigail Spanberger,D
RepAngieCraig,Angie Craig,Angie Craig,D
RepCheri,Rep. Cheri Bustos,Cheri Bustos,D
SenatorCardin,Senator Ben Cardin,Ben Cardin,D
RepWalterJones,Rep. Walter Jones,Walter B. Jones Jr.,R
SenatorShaheen,Sen. Jeanne Shaheen,Jeanne Shaheen,D
RepSwalwell,Rep. Eric Swalwell,Eric Swalwell,D
joekennedy,Joe Kennedy III,Joe Kennedy III,D
PatRoberts,Pat Roberts,Pat Roberts,R
RepJoeNeguse,Rep. Joe Neguse,Joe Neguse,D
InhofePress,Inhofe Press Office,Jim Inhofe,R
Call_Me_Dutch,Dutch Ruppersberger,Dutch Ruppersberger,D
Nate_McMurray,Nate McMurray,Patty Murray,D
RepAOC,Rep. Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,D
JohnRoseforTN,John Rose,John Rose,R
RepRodBlum,Rod Blum,Rod Blum,R
ThomTillis,Thom Tillis,Thom Tillis,R
SpanbergerVA07,Abigail Spanberger,Abigail Spanberger,D
MarkTakano,Mark Takano,Mark Takano,D
RepSusieLee,Rep. Susie Lee,Susie Lee,D
RepRossSpano,Former Congressman Ross Spano,Ross Spano,R
AngieCraigMN,Angie Craig,Angie Craig,D
RepMikeTurner,US Rep. Mike Turner,Mike Turner,R
congbillposey,Bill Posey,Bill Posey,R
RepHarley,Archived: Rep. Harley Rouda,Harley Rouda,D
McCaskillOffice,Archive: Senator McCaskill Office,Claire McCaskill,D
RepRichardNeal,Rep. Richard Neal,Richard Neal,D
RepLanceNJ7,Rep. Leonard Lance,Leonard Lance,R
Ann_Kirkpatrick,Ann Kirkpatrick,Ann Kirkpatrick,D
JoshHarder,Josh Harder,Josh Harder,D
DustyJohnson,Dusty Johnson for Congress,Dusty Johnson,R
RobinLynneKelly,Dr. Robin Kelly,Robin Kelly,D
TJCoxCongress,TJ Cox,TJ Cox,D
CarolynBMaloney,Carolyn B. Maloney,Carolyn Maloney,D
wildforcongress,Susan Wild,Susan Wild,D
JoeCourtneyCT,Joe Courtney,Joe Courtney,D
ReElectHank,Hank Johnson,Hank Johnson,D
SenBlumenthal,Richard Blumenthal,Richard Blumenthal,D
RepRobinKelly,Robin Kelly,Robin Kelly,D
SeanCasten,Sean Casten,Sean Casten,D
SenatorCantwell,Sen. Maria Cantwell,Maria Cantwell,D
repjohnlewis,John Lewis,John Lewis,D
RepKenMarchant,Former Rep. Kenny Marchant,Kenny Marchant,R
JaimeForUSRep,Jaime Herrera Beutler,Jaime Herrera Beutler,R
LoisFrankel,Lois Frankel,Lois Frankel,D
SenatorTimScott,Tim Scott,Tim Scott,R
SenGaryPeters,Senator Gary Peters,Gary Peters,D
HerreraBeutler,Jaime Herrera Beutler,Jaime Herrera Beutler,R
timburchett,Tim Burchett,Tim Burchett,R
RepGregMurphy,"Congressman Greg Murphy, M.D.",Greg Murphy,R
BillCassidy,"Bill Cassidy, M.D.",Bill Cassidy,R
RepAdamSchiff,Adam Schiff,Adam Schiff,D
ChrisVanHollen,Senator Chris Van Hollen,Chris Van Hollen,D
RepFredUpton,Fred Upton #GetVaccinated,Fred Upton,R
RepGusBilirakis,Gus Bilirakis,Gus Bilirakis,R
RepThomasMassie,Thomas Massie,Thomas Massie,R
DebbieLesko,Debbie Lesko,Debbie Lesko,R
deanbphillips,Dean Phillips ,Dean Phillips,D
McConnellPress,Senator McConnell Press,Mitch McConnell,R
SenatorDurbin,Senator Dick Durbin,Dick Durbin,D
SenHydeSmith,U.S. Senator Cindy Hyde-Smith,Cindy Hyde-Smith,R
BenMcAdamsUT,Ben McAdams UT,Ben McAdams,D
PeterWelch,Rep. Peter Welch,Peter Welch,D
RepColinAllred,Rep. Colin Allred,Colin Allred,D
MooneyforWV,Alex Mooney,Alex Mooney,R
CoryBooker,Cory Booker,Cory Booker,D
Foster4Congress,Bill Foster,Bill Foster,D
ElectConnolly,Gerry Connolly,Gerry Connolly,D
JohnBoozman,Senator John Boozman,John Boozman,R
RepBrianFitz,Rep. Brian Fitzpatrick ,Brian Fitzpatrick,R
SenRickScott,Rick Scott,Rick Scott,R
RepLipinski,Former Rep. Daniel Lipinski,Dan Lipinski,D
KeithRothfus,Keith Rothfus,Keith Rothfus,R
SenatorHassan,Sen. Maggie Hassan,Maggie Hassan,D
cindyhydesmith,Cindy Hyde-Smith,Cindy Hyde-Smith,R
spmaloney,Sean Patrick Maloney,Sean Patrick Maloney,D
RosenforNevada,Jacky Rosen,Jacky Rosen,D
DrMarkGreen4TN,"Mark E. Green, MD",Mark E. Green,R
ConorLambPA,Conor Lamb,Conor Lamb,D
RoKhanna,Ro Khanna,Ro Khanna,D
IlhanMN,Ilhan Omar,Ilhan Omar,D
SenSchumer,Chuck Schumer,Chuck Schumer,D
GreggHarper,Gregg Harper,Gregg Harper,R
LisaBRochester,Lisa Blunt Rochester,Lisa Blunt Rochester,D
JohnCornyn,Senator John Cornyn,John Cornyn,R
Cline4Virginia,Ben Cline,Ben Cline,R
LeaderHoyer,Steny Hoyer,Steny Hoyer,D
stabenow,Debbie Stabenow,Debbie Stabenow,D
SenShelby,Richard Shelby,Richard Shelby,R
RepMikeRogersAL,Mike Rogers,Mike Rogers,R
RepRonWright,Ron Wright,Ron Wright,R
janschakowsky,Jan Schakowsky,Jan Schakowsky,D
brettguthrie,Brett Guthrie,Brett Guthrie,R
MaxRose4NY,Max Rose,Max Rose,D
AnnMcLaneKuster,Annie Kuster,Ann McLane Kuster,D
WebsterCongress,Daniel Webster,Daniel Webster,R
RepCindyAxne,Rep. Cindy Axne,Cindy Axne,D
RepDustyJohnson,Rep. Dusty Johnson,Dusty Johnson,R
SenKevinCramer,Sen. Kevin Cramer,Kevin Cramer,R
MaxineWaters,Maxine Waters,Maxine Waters,D
RepDonaldPayne,Rep. Donald Payne Jr,Donald Payne Jr.,D
RepBillJohnson,Bill Johnson,Bill Johnson,R
TammyDuckworth,Tammy Duckworth,Tammy Duckworth,D
JoeManchinWV,Joe Manchin,Joe Manchin,D
MarkMeadows,Mark Meadows,Mark Meadows,R
RepTedYoho,Ted Yoho,Ted Yoho,R
senrobportman,Rob Portman,Rob Portman,R
petekingcpg,Pete King,Peter T. King,R
SenJoniErnst,Joni Ernst,Joni Ernst,R
RepChipRoy,Rep. Chip Roy Press Office,Chip Roy,R
MacTXPress,Mac Thornberry Press,Mac Thornberry,R
davidcicilline,David Cicilline,David Cicilline,D
CisnerosFndn,The Gilbert & Jacki Cisneros Foundation,Gil Cisneros,D
TulsiGabbard,Tulsi Gabbard ,Tulsi Gabbard,D
joniernst,Joni Ernst,Joni Ernst,R
RepKirkpatrick,Rep. Ann Kirkpatrick,Ann Kirkpatrick,D
RepTomPrice,Tom Price,Tom Price,R
SenatorCarper,Senator Tom Carper,Tom Carper,D
SteveScaliseGOP,Steve Scalise,Steve Scalise,R
SenWhitehouse,Sheldon Whitehouse,Sheldon Whitehouse,D
tedlieu,Ted Lieu,Ted Lieu,D
teammoulton,TeamMoulton,Mo Brooks,R
RepKatiePorter,Rep. Katie Porter,Katie Porter,D
RepGonzalez,Rep. Vicente Gonzalez,Vicente Gonzalez,D
SenatorCollins,Sen. Susan Collins,Susan Collins,R
PeteStauber,Pete Stauber,Pete Stauber,R
RepFilemonVela,US Rep. Filemon Vela,Filemon Vela Jr.,D
repgregwalden,Archive: Rep. Greg Walden,Greg Walden,R
TomOHalleran,Tom O'Halleran,Tom O'Halleran,D
RepRichmond,Rep Cedric Richmond,Cedric Richmond,D
USRepKCastor,US Rep Kathy Castor,Kathy Castor,D
RepKClark,Katherine Clark,Katherine Clark,D
RepStefanik,Rep. Elise Stefanik,Elise Stefanik,R
RepSires,Albio Sires,Albio Sires,D
RepKevinBrady,Rep. Kevin Brady,Kevin Brady,R
BradSherman4SFV,Brad Sherman,Brad Sherman,D
LindseyGrahamSC,Lindsey Graham,Lindsey Graham,R
RepDavid,Rep. David Schweikert,David Schweikert,R
RepHuffman,Rep. Jared Huffman,Jared Huffman,D
USRepMikeDoyle,Mike Doyle,Mike Doyle,D
MarkPocan,Mark Pocan,Mark Pocan,D
jasoninthehouse,Jason Chaffetz,Jason Chaffetz,R
VoteMarsha,Marsha Blackburn,Marsha Blackburn,R
repdavidscott,Rep. David Scott,David Scott,D
RepSchakowsky,Jan Schakowsky,Jan Schakowsky,D
RepJoeBarton,Joe Barton,Joe Barton,R
RepAnnaEshoo,Rep. Anna G. Eshoo,Anna Eshoo,D
TXRandy14,Randy Weber,Randy Weber,R
SpeakerPelosi,Nancy Pelosi,Nancy Pelosi,D
BLeeForCongress,Barbara Lee,Barbara Lee,D
BradleyByrne,Bradley Byrne,Bradley Byrne,R
JimmyGomezCA,Jimmy Gomez,Jimmy Gomez,D
EspaillatNY,Adriano Espaillat,Adriano Espaillat,D
RepEdCase,Rep. Ed Case,Ed Case,D
SenJohnThune,Senator John Thune,John Thune,R
JerryMoran,Senator Jerry Moran,Jerry Moran,R
DebDingell,Debbie Dingell,Debbie Dingell,D
garretgraves,Garret Graves,Garret Graves,R
RepBarragan,Nanette D. Barragan,Nanette Barragan,D
RepMarkWalker,Mark Walker,Mark Walker,R
CheriBustos,Cheri Bustos,Cheri Bustos,D
Matsui4Congress,Matsui for Congress,Doris Matsui,D
SenDeanHeller,Dean Heller,Dean Heller,R
repsandylevin,Rep. Sandy Levin,Andy Levin,D
DianneFeinstein,Dianne Feinstein,Dianne Feinstein,D
tammybaldwin,Tammy Baldwin,Tammy Baldwin,D
DebbieforFL,Debbie Mucarsel-Powell,Debbie Mucarsel-Powell,D
GrassleyPress,Sen. Grassley Press,Chuck Grassley,R
SenatorRounds,Senator Mike Rounds,Mike Rounds,R
BobMenendezNJ,Menendez for NJ,Bob Menendez,D
RepMikeQuigley,Mike Quigley,Mike Quigley,D
EliseStefanik,Elise Stefanik,Elise Stefanik,R
KindforCongress,Ron Kind,Ron Kind,D
HoulahanForPa,Chrissy Houlahan,Chrissy Houlahan,D
ericswalwell,Eric Swalwell,Eric Swalwell,D
RepDavidValadao,Rep. David Valadao,David Valadao,R
CongressmanHice,Rep. Jody Hice,Jody Hice,R
BennieGThompson,Bennie G. Thompson,Bennie Thompson,D
ClyburnSC06,Jim Clyburn SC-06,Jim Clyburn,D
DanaRohrabacher,Dana Rohrabacher,Dana Rohrabacher,R
RepBeatty,Joyce Beatty,Joyce Beatty,D
RepCummings,Elijah E. Cummings,Elijah Cummings,D
LaurenUnderwood,Lauren Underwood,Lauren Underwood,D
RepKatieHill,Rep. Katie Hill,Katie Hill,D
RepMGS,Congresswoman Mary Gay Scanlon,Mary Gay Scanlon,D
marcorubio,Marco Rubio,Marco Rubio,R
SenTinaSmith,Senator Tina Smith,Tina Smith,D
RepBonamici,Suzanne Bonamici,Suzanne Bonamici,D
RepGregSteube,Congressman Greg Steube,Greg Steube,R
RepLloydDoggett,Lloyd Doggett,Lloyd Doggett,D
RepDebHaaland,Rep. Deb Haaland,Deb Haaland,D
PatToomey,Pat Toomey,Pat Toomey,R
RepJayapal,Rep. Pramila Jayapal,Pramila Jayapal,D
ElaineLuriaVA,Elaine Luria,Elaine Luria,D
RepJahanaHayes,Jahana Hayes,Jahana Hayes,D
McGovernMA,Jim McGovern,Jim McGovern,D
GregPenceIN,Greg Pence,Greg Pence,R
ColinAllredTX,Colin Allred,Colin Allred,D
RepBrownley,Congresswoman Julia Brownley,Julia Brownley,D
MikeSimpson4ID,Mike Simpson,Mike Simpson,R
CongBoyle,Rep. Brendan Boyle,Brendan Boyle,D
RepJeffDuncan,Rep. Jeff Duncan,Jeff Duncan,R
Bob_Casey,Bob Casey Jr.,Bob Casey Jr.,D
RepGilCisneros,Rep. Gil Cisneros,Gil Cisneros,D
RepBrianMast,Rep. Brian Mast,Brian Mast,R
RashidaTlaib,Rashida Tlaib,Rashida Tlaib,D
BenCardinforMD,Ben Cardin,Ben Cardin,D
keithellison,Keith Ellison,Keith Ellison,D
kyrstensinema,Kyrsten Sinema,Kyrsten Sinema,D
DanCrenshawTX,Dan Crenshaw,Dan Crenshaw,R
SenMarkey,Ed Markey,Ed Markey,D
MarkwayneMullin,Markwayne Mullin,Markwayne Mullin,R
RepPoliquin,Rep. Bruce Poliquin,Bruce Poliquin,R
RepDavidEPrice,Rep. David E. Price,David Price,D
RepMaxineWaters,Maxine Waters,Maxine Waters,D
TeamVisclosky,Pete Visclosky,Pete Visclosky,D
RepHensarling,Archive: Rep. Jeb Hensarling,Jeb Hensarling,R
RepRussFulcher,Rep. Russ Fulcher,Russ Fulcher,R
carloslcurbelo,Carlos Curbelo,Carlos Curbelo,R
WillHurd,Will Hurd,Will Hurd,R
RepAbraham,Rep. Ralph Abraham,Ralph Abraham,R
RepKenBuck,Rep. Ken Buck,Ken Buck,R
RubenGallego,Ruben Gallego,Ruben Gallego,D
RepAndyBarr,Rep. Andy Barr,Andy Barr,R
MacThornberry,Mac Thornberry,Mac Thornberry,R
SenSasse,Senator Ben Sasse,Ben Sasse,R
WhipClyburn,James E. Clyburn,Jim Clyburn,D
RepHoulahan,Chrissy Houlahan,Chrissy Houlahan,D
DonJBacon,Don Bacon,Don Bacon,R
tedcruz,Ted Cruz,Ted Cruz,R
RepHorsford,Rep. Steven Horsford,Steven Horsford,D
RepJohnYarmuth,Rep. John Yarmuth,John Yarmuth,D
UptonForAllOfUs,Fred Upton,Fred Upton,R
jahimes,Jim Himes,Jim Himes,D
MikeKellyforPA,Mike Kelly for Congress,Mike Kelly,R
VickyHartzlerMO,Vicky Hartzler,Vicky Hartzler,R
RepJoeCourtney,Rep. Joe Courtney,Joe Courtney,D
RepFinkenauer,ARCHIVED Congresswoman Abby Finkenauer,Abby Finkenauer,D
MichaelJCloud,Michael Cloud,Michael Cloud,R
rosadelauro,Rosa DeLauro,Rosa DeLauro,D
tndesjarlais,Scott DesJarlais,Scott DesJarlais,R
RepAndyKimNJ,The Office of Congressman Andy Kim,Andy Kim,D
SenDougJones,Archived: Senator Doug Jones,Doug Jones,D
KathleenRice,Kathleen Rice,Kathleen Rice,D
SenatorBennet,Michael Bennet,Michael Bennet,D
RepJudyChu,Judy Chu,Judy Chu,D
RepJohnCurtis,Rep. John Curtis,John Curtis,R
RepChrisStewart,Rep. Chris Stewart,Chris Stewart,R
lucymcbath,Lucy McBath,Lucy McBath,D
RepRonEstes,Rep. Ron Estes,Ron Estes,R
SenatorMenendez,Senator Bob Menendez,Bob Menendez,D
RepAlGreen,Congressman Al Green,Al Green,D
