twitter_account,twitter_user,full_name,party
krhern,Kevin Hern,Kevin Hern,R
RepBonnie,Rep. Bonnie Watson Coleman,Bonnie Watson Coleman,D
SuzanDelBene,Suzan DelBene,Suzan DelBene,D
golden4congress,Jared Golden for Congress,Jared Golden,D
RossSpano,Ross Spano,Ross Spano,R
RepLouCorrea,Rep. Lou Correa,Lou Correa,D
aguilarpete,Pete Aguilar,Pete Aguilar,D
RepMcEachin,Rep. Donald McEachin,Donald McEachin,D
RepZoeLofgren,Rep. Zoe Lofgren,Zoe Lofgren,D
Ed4Colorado,Ed Perlmutter,Ed Perlmutter,D
RepRiggleman,Denver Riggleman,Denver Riggleman,R
AlLawsonJr,Al Lawson,Al Lawson,D
RepJasonSmith,Rep. Jason Smith,Jason T. Smith,R
KarenBassTweets,Karen Bass,Karen Bass,D
RepShimkus,Archive: Rep. John Shimkus,John Shimkus,R
RepHartzler,Rep. Vicky Hartzler,Vicky Hartzler,R
gracenapolitano,Rep.Grace Napolitano,Grace Napolitano,D
VernBuchanan,Rep. Vern Buchanan,Vern Buchanan,R
RepDMP,Rep. Debbie Mucarsel-Powell,Debbie Mucarsel-Powell,D
ChrisPappasNH,Chris Pappas,Chris Pappas,D
TedDeutch,Ted Deutch,Ted Deutch,D
RepComstock,Barbara Comstock,Barbara Comstock,R
RepJimCosta,Rep. Jim Costa,Jim Costa,D
SenMikeLee,Mike Lee,Mike Lee,R
RepMattGaetz,Rep. Matt Gaetz,Matt Gaetz,R
SenJackyRosen,Senator Jacky Rosen,Jacky Rosen,D
TeamCMR,Cathy McMorris Rodgers,Cathy McMorris Rodgers,R
RepRussell,Rep. Steve Russell,Steve Russell,R
GOPLeader,Kevin McCarthy,Kevin McCarthy,R
DeGette5280,Diana DeGette,Diana DeGette,D
RepCartwright,Matt Cartwright,Matt Cartwright,D
RepAlexMooney,Rep. Alex Mooney,Alex Mooney,R
RepVisclosky,Rep. Pete Visclosky,Pete Visclosky,D
RepAndyBiggsAZ,Rep Andy Biggs,Andy Biggs,R
RepDerekKilmer,Rep. Derek Kilmer,Derek Kilmer,D
RepHultgren,Rep. Randy Hultgren,Randy Hultgren,R
Higgins4WNY,Higgins for Congress,Brian Higgins,D
VanHollenForMD,Chris Van Hollen,Chris Van Hollen,D
Jim_Jordan,Rep. Jim Jordan,Jim Jordan,R
latta4congress,Bob Latta,Bob Latta,R
BillPascrell,"Bill Pascrell, Jr.",Bill Pascrell,D
SenTomCotton,Tom Cotton,Tom Cotton,R
LuetkemeyerB,Blaine Luetkemeyer,Blaine Luetkemeyer,R
RepJohnRose,John Rose,John Rose,R
McHenryCampaign,McHenry for Congress,Henry Cuellar,D
RepJohnConyers,"John Conyers, Jr.",John Conyers,D
RepRoKhanna,Rep. Ro Khanna,Ro Khanna,D
RepDLesko,Congresswoman Debbie Lesko,Debbie Lesko,R
SenWarren,Elizabeth Warren,Elizabeth Warren,D
RepMikeJohnson,Rep. Mike Johnson,Mike Johnson,R
RepBost,Rep. Mike Bost,Mike Bost,R
RepAnthonyBrown,Anthony Brown,Anthony G. Brown,D
RepSarbanes,Rep. John Sarbanes,John Sarbanes,D
MarcVeasey,Marc Veasey,Marc Veasey,D
ElissaSlotkin,Elissa Slotkin,Elissa Slotkin,D
JohnnyIsakson,Johnny Isakson,Johnny Isakson,R
RepJasonCrow,Rep. Jason Crow,Jason Crow,D
lutherstrange,Luther Strange,Luther Strange,R
DevinNunes,Devin Nunes,Devin Nunes,R
RepLindaSanchez,Rep. Linda Sanchez,Linda Sanchez,D
JeanneShaheen,Jeanne Shaheen,Jeanne Shaheen,D
RepRutherfordFL,Rep. John Rutherford,John Rutherford,R
RepLucyMcBath,Rep. Lucy McBath,Lucy McBath,D
sharicedavids,Sharice Davids,Sharice Davids,D
RepBrianHiggins,Brian Higgins,Brian Higgins,D
CongPalazzo,Cong. Steven Palazzo,Steven Palazzo,R
RepJohnLarson,Rep. John Larson,John B. Larson,D
RepFletcher,Rep. Lizzie Fletcher,Lizzie Fletcher,D
RepDianaDeGette,Rep. Diana DeGette,Diana DeGette,D
USRepRickNolan,Fmr. US Rep. Rick Nolan,Rick Nolan,D
Gwen4Congress,Gwen S. Moore,Gwen Moore,D
GT_TeamGT,Team GT - Friends of Glenn Thompson,Glenn Thompson,R
PatrickMcHenry,Patrick McHenry,Patrick McHenry,R
daveloebsack,Archive: Dave Loebsack (Retired US Rep),Dave Loebsack,D
RichHudson,Richard Hudson,Richard Hudson,R
DocAbraham,Dr. Ralph Abraham,Ralph Abraham,R
DrNealDunnFL2,Dr. Neal Dunn,Neal Dunn,R
SenToomey,Senator Pat Toomey,Pat Toomey,R
RepBobbyRush,Bobby L. Rush,Bobby Rush,D
RepMichaelGuest,Congressman Michael Guest,Michael Guest,R
RepJimBaird,Congressman Jim Baird,Jim Baird,R
AustinScottGA08,Rep. Austin Scott,Austin Scott,R
Boozman4AR,John Boozman,John Boozman,R
JamesComer,James Comer,James Comer,R
GReschenthaler,Rep. Guy Reschenthaler,Guy Reschenthaler,R
RepJohnDelaney,Archive: Rep. John Delaney,John Delaney,D
RepSpeier,Jackie Speier,Jackie Speier,D
JoyceBeatty,Joyce Beatty,Joyce Beatty,D
RepSlotkin,Rep. Elissa Slotkin,Elissa Slotkin,D
RepDebDingell,Rep. Debbie Dingell,Debbie Dingell,D
RepTedBudd,Congressman Ted Budd,Ted Budd,R
DickDurbin,Dick Durbin,Dick Durbin,D
SenJackReed,Senator Jack Reed,Jack Reed,D
SanfordBishop,"Sanford Bishop, Jr.",Sanford Bishop,D
benraylujan,Ben Ray Lujan,Ben Ray Lujan,D
RepFredKeller,Congressman Fred Keller,Fred Keller,R
RepBobGibbs,Rep. Bob Gibbs,Bob Gibbs,R
RepTerriSewell,Rep. Terri A. Sewell,Terri Sewell,D
RepLaMalfa,Rep. Doug LaMalfa,Doug LaMalfa,R
SteveDaines,Steve Daines,Steve Daines,R
govkristinoem,Governor Kristi Noem,Kristi Noem,R
chiproytx,Chip Roy,Chip Roy,R
ChrisMurphyCT,Chris Murphy,Chris Murphy,D
RepWalorski,Jackie Walorski,Jackie Walorski,R
ScottforFlorida,Rick Scott,Rick Scott,R
SenatorLeahy,Sen. Patrick Leahy,Patrick Leahy,D
RepDevinNunes,Rep. Devin Nunes,Devin Nunes,R
RepMalinowski,Rep. Tom Malinowski,Tom Malinowski,D
RepLynch,Stephen F. Lynch,Stephen F. Lynch,D
SenatorTester,Senator Jon Tester,Jon Tester,D
RepKinzinger,Adam Kinzinger,Adam Kinzinger,R
BernieSanders,Bernie Sanders,Bernie Sanders,D
Denver4VA,Denver Lee Riggleman III,Denver Riggleman,R
RepJohnDuncanJr,Rep John Duncan Jr.,Jimmy Duncan,R
RepLoudermilk,Rep. Barry Loudermilk,Barry Loudermilk,R
MarkWarner,Mark Warner,Mark Warner,D
VanTaylorTX,Van Taylor,Van Taylor,R
AdamKinzinger,Adam Kinzinger,Adam Kinzinger,R
MikeTurnerOH,Mike Turner,Mike Turner,R
mazieforhawaii,Mazie Hirono,Mazie Hirono,D
ReElectWittman,Rob Wittman,Rob Wittman,R
JimLangevin,Jim Langevin,James Langevin,D
JuliaBrownley,Julia Brownley,Julia Brownley,D
AOC,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,D
DWStweets,Debbie Wasserman Schultz,Debbie Wasserman Schultz,D
RepGrothman,Rep. Glenn Grothman,Glenn Grothman,R
PascrellforNJ,"Bill Pascrell, Jr.",Bill Pascrell,D
DavidKustoff,David Kustoff,David Kustoff,R
CoryGardner,Cory Gardner,Cory Gardner,R
SenatorBurr,Richard Burr,Richard Burr,R
MadeleineDean,Madeleine Dean,Madeleine Dean,D
cathymcmorris,CathyMcMorrisRodgers,Cathy McMorris Rodgers,R
RepBillFoster,Congressman Bill Foster,Bill Foster,D
TeamMeadows,Team Meadows,Mark Meadows,R
GeorgeHolding,George Holding,George Holding,R
andybiggs4az,Andy Biggs,Andy Biggs,R
SenatorEnzi,Mike Enzi,Mike Enzi,R
DrKimSchrier,Dr. Kim Schrier,Kim Schrier,D
repblumenauer,Earl Blumenauer,Earl Blumenauer,D
RepHankJohnson,Rep. Hank Johnson,Hank Johnson,D
RepJohnFaso,John Faso,John Faso,R
GerryConnolly,Rep. Gerry Connolly,Gerry Connolly,D
BostForCongress,Mike Bost,Mike Bost,R
KendraSHorn,Kendra Horn,Kendra Horn,D
SenCapito,Shelley Moore Capito,Shelley Moore Capito,R
TinaSmithMN,Tina Smith,Tina Smith,D
JodyHice,Jody Hice,Jody Hice,R
Norma4Congress,Norma Torres,Norma Torres,D
KellyforMS01,Trent Kelly,Trent Kelly,R
SherrodBrown,Sherrod Brown,Sherrod Brown,D
RepPeterDeFazio,Rep Peter DeFazio,Peter DeFazio,D
DonYoungAK,Don Young,Don Young,R
VoteYvette,Yvette D. Clarke for Congress,Yvette Clarke,D
RepScottPeters,Rep. Scott Peters,Scott Peters,D
RepCloudTX,Congressman Michael Cloud,Michael Cloud,R
SenFranken,U.S. Senator Al Franken,Al Franken,D
RepTorresSmall,Archived: Rep. Xochitl Torres Small,Xochitl Torres Small,D
SenatorFischer,Senator Deb Fischer,Deb Fischer,R
virginiafoxx,Virginia Foxx,Virginia Foxx,R
RepLarryBucshon,"Larry Bucshon, MD",Larry Bucshon,R
RepSmucker,Rep. Lloyd Smucker,Lloyd Smucker,R
johnthune,John Thune,John Thune,R
Andy_Levin,Andy Levin,Andy Levin,D
BrianFitzUSA,Brian Fitzpatrick ,Brian Fitzpatrick,R
LindaTSanchez,Linda Sanchez,Linda Sanchez,D
RepCharlieCrist,Congressman Charlie Crist,Charlie Crist,D
SenatorRomney,Senator Mitt Romney,Mitt Romney,R
TomReedNY23,Tom Reed,Tom Reed,R
LamarSmithTX21,Lamar Smith,Lamar S. Smith,R
foxxforcongress,Virginia Foxx,Virginia Foxx,R
RepGosar,"Rep. Paul Gosar, DDS",Paul Gosar,R
JimmyPanetta,Jimmy Panetta,Jimmy Panetta,D
reschenthaler,Guy Reschenthaler,Guy Reschenthaler,R
RepAndreCarson,Andre Carson,Andre Carson,D
RepPaulMitchell,Paul Mitchell,Paul Mitchell,R
FrancisRooney,Francis Rooney,Francis Rooney,R
RepTrentKelly,Trent Kelly,Trent Kelly,R
CurtisUT,John Curtis,John Curtis,R
RepPeteAguilar,Rep. Pete Aguilar,Pete Aguilar,D
JohnLarsonCT,John Larson,John B. Larson,D
SenatorRisch,Jim Risch,Jim Risch,R
Sen_JoeManchin,Senator Joe Manchin,Joe Manchin,D
RepEspaillat,Adriano Espaillat,Adriano Espaillat,D
RogerMarshallMD,Dr. Roger Marshall,Roger Marshall,R
jamie_raskin,Jamie Raskin,Jamie Raskin,D
SenatorBraun,Senator Mike Braun,Mike Braun,R
RepMikeCoffman,Mike Coffman,Mike Coffman,R
WestermanAR,Bruce Westerman,Bruce Westerman,R
collinpeterson,Collin Peterson,Collin Peterson,D
RepMeuser,Congressman Dan Meuser,Dan Meuser,R
SpeakerRyan,Paul Ryan,Paul Ryan,R
RepJoshHarder,Rep. Josh Harder,Josh Harder,D
StevenPalazzo,Steven Palazzo,Steven Palazzo,R
RepAdrianSmith,Rep. Adrian Smith,Adrian Smith,R
BettyMcCollum04,Rep. Betty McCollum,Betty McCollum,D
DarrenSoto,Darren Soto,Darren Soto,D
MarkAmodeiNV2,RepMarkAmodei,Mark Amodei,R
RepRickCrawford,Rep Rick Crawford,Rick Crawford,R
WarrenDavidson,Warren Davidson,Warren Davidson,R
DwightEvansPA,Dwight Evans,Dwight Evans,D
McCaulforTexas,Team McCaul,Michael McCaul,R
KamalaHarris,Kamala Harris,Kamala Harris,D
MikeKellyPA,Rep. Mike Kelly,Mike Kelly,R
RepPeteOlson,Pete Olson,Pete Olson,R
RogerWicker,Roger Wicker,Roger Wicker,R
RepBrendanBoyle,US Rep Brendan Boyle,Brendan Boyle,D
MIDaveTrott,Dave Trott,Dave Trott,R
RepCunningham,Archived: Rep. Joe Cunningham,Joe Cunningham,D
MartinHeinrich,Martin Heinrich,Martin Heinrich,D
auctnr1,Billy Long,Billy Long,R
RepTomEmmer,Tom Emmer,Tom Emmer,R
RepTedLieu,Rep. Ted Lieu,Ted Lieu,D
JohnsonLeads,Bill Johnson,Bill Johnson,R
RepMcClintock,Tom McClintock,Tom McClintock,R
SenJohnMcCain,John McCain,John McCain,R
SenSherrodBrown,Sherrod Brown,Sherrod Brown,D
jontester,Jon Tester,Jon Tester,D
BrendaLLawrence,Brenda Lawrence,Brenda Lawrence,D
RepNewhouse,Rep. Dan Newhouse,Dan Newhouse,R
SenGillibrand,Kirsten Gillibrand,Kirsten Gillibrand,D
RepAdamSmith,Rep. Adam Smith,Adam Smith,D
BeraForCongress,Dr. Ami Bera,Ami Bera,D
RepJimBanks,Jim Banks,Jim Banks,R
DorisMatsui,Rep. Doris Matsui,Doris Matsui,D
SenSanders,Bernie Sanders,Bernie Sanders,D
RepDavids,Rep. Sharice Davids,Sharice Davids,D
RepSchneider,Rep. Brad Schneider,Brad Schneider,D
davidjtrone,David Trone,David Trone,D
SteveKnight25,Steve Knight,Steve Knight,R
kevincramer,Kevin Cramer,Kevin Cramer,R
MikeJohnson,Mike Johnson,Mike Johnson,R
JohnKennedyLA,John Neely Kennedy,John Kennedy,R
Vote_Davidson,Warren Davidson,Warren Davidson,R
marygayscanlon,Mary Gay Scanlon,Mary Gay Scanlon,D
SenThomTillis,Senator Thom Tillis,Thom Tillis,R
WydenForOregon,Wyden for Oregon,Ron Wyden,D
RepKimSchrier,"Rep. Kim Schrier, M.D.",Kim Schrier,D
RepGaramendi,John Garamendi,John Garamendi,D
RepLizCheney,Rep. Liz Cheney,Liz Cheney,R
JackieSpeier,Jackie Speier,Jackie Speier,D
RepDanBishop,Rep. Dan Bishop,Dan Bishop,R
katieporteroc,Katie Porter,Katie Porter,D
LeaderMcConnell,Leader McConnell,Mitch McConnell,R
RepBlaine,Blaine Luetkemeyer,Blaine Luetkemeyer,R
RepTomSuozzi,Tom Suozzi,Thomas Suozzi,D
RepGuthrie,Rep. Brett Guthrie,Brett Guthrie,R
JohnJoyceForPA,John Joyce,John Joyce,R
RepTomRice,Congressman Tom Rice,Tom Rice,R
RoyBluntMO,RoyBluntMO,Roy Blunt,R
RepRalphNorman,Rep. Ralph Norman,Ralph Norman,R
TomRooney,Tom Rooney,Tom Rooney,R
SenMurphyOffice,Sen. Murphy Office,Chris Murphy,D
MarkWarnerVA,Mark Warner HQ,Mark Warner,D
farenthold,Blake Farenthold,Blake Farenthold,R
SenAlexander,Lamar Alexander,Lamar Alexander,R
PramilaJayapal,Pramila Jayapal,Pramila Jayapal,D
RepTenney,Congresswoman Tenney,Claudia Tenney,R
RepPressley,Congresswoman Ayanna Pressley,Ayanna Pressley,D
GroundworkProj,Groundwork Project,Ro Khanna,D
WeberforTexas,Randy Weber,Randy Weber,R
SeanDuffyWI,Sean Duffy,Sean Duffy,R
HornForCongress,Kendra Horn,Kendra Horn,D
RepChuyGarcia,Congressman Chuy Garcia,"Jesus ""Chuy"" Garcia",D
MarioDB,Mario Diaz-Balart,Mario Diaz-Balart,R
rickallen,Rick W. Allen,Rick W. Allen,R
RepMcNerney,Jerry McNerney,Jerry McNerney,D
DavidSchweikert,David Schweikert,David Schweikert,R
RepDougCollins,Doug Collins,Doug Collins,R
TeamJoeWilson,Team Joe Wilson,Joe Wilson,R
VoteForTrey,Trey Hollingsworth,Trey Hollingsworth,R
RepByrne,Archive: Rep. Bradley Byrne,Bradley Byrne,R
maziehirono,Senator Mazie Hirono,Mazie Hirono,D
RepMoolenaar,Rep. John Moolenaar,John Moolenaar,R
SenDuckworth,Tammy Duckworth,Tammy Duckworth,D
repcleaver,Rep. Emanuel Cleaver,Emanuel Cleaver,D
SMurphyCongress,Stephanie Murphy,Stephanie Murphy,D
SamsPressShop,Sam Johnson,Sam Johnson,R
FrankPallone,Rep. Frank Pallone,Frank Pallone,D
HarleyRouda,Harley Rouda,Harley Rouda,D
RepWebster,Daniel Webster,Daniel Webster,R
RepSteveStivers,Archive: Steve Stivers,Steve Stivers,R
GoDutchForMD,Dutch for Congress,Dutch Ruppersberger,D
JohnMShimkus,John Shimkus,John Shimkus,R
RepWexton,Rep. Jennifer Wexton,Jennifer Wexton,D
RepPerlmutter,Rep. Ed Perlmutter,Ed Perlmutter,D
KatieHill4CA,Katie Hill,Katie Hill,D
SenatorLankford,Sen. James Lankford,James Lankford,R
USRepKeating,Congressman Bill Keating,Bill Keating,D
Tom_Suozzi,Tom Suozzi,Thomas Suozzi,D
ErikPaulsen,Erik Paulsen,Erik Paulsen,R
Armstrong_ND,Kelly Armstrong,Kelly Armstrong,R
SenatorIsakson,Johnny Isakson,Johnny Isakson,R
NitaLowey,Archive: Nita Lowey,Nita Lowey,D
willhurd_,Will Hurd,Will Hurd,R
RepChrisPappas,Rep. Chris Pappas,Chris Pappas,D
TedBuddNC,Ted Budd,Ted Budd,R
JeffMerkley,Jeff Merkley,Jeff Merkley,D
SenThadCochran,Senator Thad Cochran,Thad Cochran,R
Grace4NY,Grace Meng,Grace Meng,D
larsenrick,Rick Larsen,Rick Larsen,D
CharlieCrist,Charlie Crist,Charlie Crist,D
RepChuck,Chuck Fleischmann,Chuck Fleischmann,R
RoyBlunt,Senator Roy Blunt,Roy Blunt,R
StewartforUtah,Chris Stewart,Chris Stewart,R
RepJimmyPanetta,Rep. Jimmy Panetta,Jimmy Panetta,D
RepAnnieKuster,Ann McLane Kuster,Ann McLane Kuster,D
JudgeJohnCarter,John Carter,John Carter,R
RepDean,Congresswoman Madeleine Dean,Madeleine Dean,D
CongressmanRaja,Congressman Raja Krishnamoorthi,Raja Krishnamoorthi,D
NormaJTorres,Rep. Norma Torres,Norma Torres,D
NydiaVelazquez,Rep. Nydia Velazquez,Nydia Velazquez,D
TeamCalvert,Ken Calvert,Ken Calvert,R
SheldonforRI,Sheldon Whitehouse,Sheldon Whitehouse,D
lisamurkowski,Sen. Lisa Murkowski,Lisa Murkowski,R
RepTipton,Rep. Scott Tipton,Scott Tipton,R
gregsteube,Greg Steube,Greg Steube,R
SenBooker,Sen. Cory Booker,Cory Booker,D
FrankLoBiondoNJ,Frank LoBiondo,Frank LoBiondo,R
RepOHalleran,Rep. Tom O'Halleran,Tom O'Halleran,D
RepRooney,Francis Rooney,Francis Rooney,R
RepGregoryMeeks,Rep. Gregory Meeks,Gregory Meeks,D
HawleyMO,Josh Hawley,Josh Hawley,R
RepWilson,Rep Frederica Wilson,Frederica Wilson,D
ColPaulCookRet,Col. Paul Cook (Ret.),Paul Cook,R
SenatorTomUdall,Archive: Senator Tom Udall,Tom Udall,D
DavidRouzer,David Rouzer,David Rouzer,R
SenHawleyPress,Senator Hawley Press Office,Josh Hawley,R
RepDarrenSoto,Rep. Darren Soto,Darren Soto,D
RajaForCongress,Raja Krishnamoorthi,Raja Krishnamoorthi,D
TeamPelosi,Nancy Pelosi,Nancy Pelosi,D
Jim_Banks,Jim Banks,Jim Banks,R
RepDavidKustoff,Rep. David Kustoff,David Kustoff,R
RepAnnWagner,Ann Wagner,Ann Wagner,R
