twitter_account,twitter_user,full_name,party
RepTomGraves,Tom Graves,Tom Graves,R
RepLouBarletta,Lou Barletta,Lou Barletta,R
SenatorBaldwin,Sen. Tammy Baldwin,Tammy Baldwin,D
DennisRossSEU,Dennis Ross,Dennis A. Ross,R
SenBillCassidy,"U.S. Senator Bill Cassidy, M.D.",Bill Cassidy,R
RepHagedorn,Congressman Jim Hagedorn,Jim Hagedorn,R
DerekKilmer,Derek Kilmer,Derek Kilmer,D
RepMarkTakano,Mark Takano,Mark Takano,D
RepCarolMiller,Rep. Carol Miller,Carol Miller,R
Ilhan,Rep. Ilhan Omar,Ilhan Omar,D
mlfudge,Marcia L. Fudge,Marcia Fudge,D
RepFrenchHill,French Hill,French Hill,R
SenBobCasey,Senator Bob Casey,Bob Casey Jr.,D
ReElectCohen,Cohen for Congress,Steve Cohen,D
DunnCampaign,Dr. Neal Dunn,Neal Dunn,R
RepCharlieDent,Charlie Dent,Charlie Dent,R
RosLehtinen,Ileana Ros-Lehtinen,Ileana Ros-Lehtinen,R
RepJaredPolis,Former Rep. Jared Polis,Jared Polis,D
brianschatz,Brian Schatz,Brian Schatz,D
SenAngusKing,Senator Angus King,Angus King,D
CollinsforGA,Doug Collins,Doug Collins,R
MarioDBCamp,Mario Diaz-Balart,Mario Diaz-Balart,R
RepLoriTrahan,Congresswoman Lori Trahan,Lori Trahan,D
RepYvetteClarke,Yvette D. Clarke,Yvette Clarke,D
CartwrightPA,Matt Cartwright,Matt Cartwright,D
GKButterfield,G. K. Butterfield,G. K. Butterfield,D
RepJBridenstine,Jim Bridenstine,Jim Bridenstine,R
RepSanfordSC,Mark Sanford (Archived),Mark Sanford,R
Robert_Aderholt,Robert Aderholt,Robert Aderholt,R
DrRandPaul,Rand Paul,Rand Paul,R
WelchForVT,Rep. Peter Welch,Peter Welch,D
LtGovDennyHeck,Denny Heck,Denny Heck,D
PeteOlson,Pete Olson,Pete Olson,R
GovRonDeSantis,Ron DeSantis,Ron DeSantis,R
JohnSarbanes,John Sarbanes,John Sarbanes,D
chuck4congress,Chuck Fleischmann,Chuck Fleischmann,R
RepElaineLuria,Rep. Elaine Luria,Elaine Luria,D
RepRWilliams,Rep. Roger Williams,Roger Williams,R
MikieSherrill,Mikie Sherrill,Mikie Sherrill,D
StaceyPlaskett,Rep. Stacey Plaskett,Stacey Plaskett,D
RepScottPerry,RepScottPerry,Scott Perry,R
RepRaulRuizMD,Raul Ruiz,Raul Ruiz,D
JudgeTedPoe,Ted Poe,Ted Poe,R
VP,Vice President Kamala Harris,Kamala Harris,D
SenatorLujan,Ben Ray Lujan,Ben Ray Lujan,D
JimHagedornMN,Jim Hagedorn,Jim Hagedorn,R
Vote4Cleaver,Cleaver For Congress ,Emanuel Cleaver,D
ToddRokita,Todd Rokita (Archived),Todd Rokita,R
amyklobuchar,Amy Klobuchar,Amy Klobuchar,D
RepBrianBabin,Brian Babin,Brian Babin,R
CapitoforWV,Capito for WV,Shelley Moore Capito,R
SenPatRoberts,Senator Pat Roberts,Pat Roberts,R
SenTedCruz,Senator Ted Cruz,Ted Cruz,R
Liz_Cheney,Liz Cheney,Liz Cheney,R
RepBuddyCarter,Buddy Carter,Buddy Carter,R
SenRubioPress,Senator Rubio Press,Marco Rubio,R
RepWesterman,Rep. Bruce Westerman,Bruce Westerman,R
StevenHorsford,Steven Horsford,Steven Horsford,D
votetimscott,Tim Scott,Tim Scott,R
RepTimRyan,Congressman Tim Ryan,Tim Ryan,D
RepDelBene,Rep. Suzan DelBene,Suzan DelBene,D
tomemmer,Tom Emmer,Tom Emmer,R
RepSheaPorter,Rep. Shea-Porter,Carol Shea-Porter,D
RepLBR,Rep. Lisa Blunt Rochester,Lisa Blunt Rochester,D
LloydDoggettTX,Rep. Lloyd Doggett,Lloyd Doggett,D
womack4congress,Steve Womack,Steve Womack,R
RepMaloney,Carolyn B. Maloney,Carolyn Maloney,D
Tcardenas,#TonyCardenas,Tony Cardenas,D
PaulTonko,Paul D. Tonko,Paul Tonko,D
electadamsmith,Adam Smith,Adam Smith,D
kevinomccarthy,Kevin McCarthy,Kevin McCarthy,R
RepMaxRose,Archived: Rep. Max Rose,Max Rose,D
JasonSmithMO,Jason Smith,Jason T. Smith,R
MurrayCampaign,Senator Patty Murray,Patty Murray,D
RepEliotEngel,Eliot Engel,Eliot Engel,D
RepKihuen,Rep. Ruben J. Kihuen,Ruben Kihuen,D
RepGolden,Congressman Jared Golden,Jared Golden,D
mattgaetz,Matt Gaetz,Matt Gaetz,R
JeffFlake,Jeff Flake,Jeff Flake,R
RepCuellar,Rep. Henry Cuellar,Henry Cuellar,D
SenJohnBarrasso,Sen. John Barrasso,John Barrasso,R
JohnGaramendi,John Garamendi,John Garamendi,D
RonEstesKS,Ron Estes,Ron Estes,R
RepMarkGreen,Rep. Mark Green,Mark E. Green,R
GuestCongress,Michael Guest,Michael Guest,R
AnnLWagner,Ann Wagner,Ann Wagner,R
CoopForCongress,Jim Cooper,Jim Cooper,D
SenStabenow,Sen. Debbie Stabenow,Debbie Stabenow,D
RepGraceMeng,Grace Meng,Grace Meng,D
RussFulcher,Russ Fulcher,Russ Fulcher,R
braun4indiana,Mike Braun,Mike Braun,R
DesJarlaisTN04,Scott DesJarlais,Scott DesJarlais,R
ReElectNydia,Nydia M Velazquez,Nydia Velazquez,D
DelgadoforNY19,Antonio Delgado,Antonio Delgado,D
RepJenniffer,Jenniffer Gonzalez,Jenniffer Gonzalez,R
RepEBJ,Rep. Eddie Bernice Johnson,Eddie Bernice Johnson,D
RepClayHiggins,Rep. Clay Higgins,Clay Higgins,R
Duncan4Congress,Jeff Duncan,Jeff Duncan,R
senorrinhatch,Senator Hatch Office,Orrin Hatch,R
RepMullin,Markwayne Mullin,Markwayne Mullin,R
EdMarkey,Ed Markey,Ed Markey,D
RepRashida,Congresswoman Rashida Tlaib,Rashida Tlaib,D
Lancegooden,Lance Gooden,Lance Gooden,R
RepTimmons,Congressman William Timmons,William Timmons,R
KathyCastorFL,Kathy Castor,Kathy Castor,D
CaptClayHiggins,Clay Higgins,Clay Higgins,R
RepGregStanton,Rep. Greg Stanton,Greg Stanton,D
ewarren,Elizabeth Warren,Elizabeth Warren,D
SteveChabot,Steve Chabot,Steve Chabot,R
JoeCrowleyNY,Joe Crowley,Joseph Crowley,D
USRepLong,U.S. Rep. Billy Long,Billy Long,R
jackiewalorski,Jackie Walorski,Jackie Walorski,R
SteveScalise,Steve Scalise,Steve Scalise,R
BradSherman,Rep. Brad Sherman,Brad Sherman,D
SenatorHeitkamp,Archive: Sen. Heidi Heitkamp,Heidi Heitkamp,D
SenFeinstein,Senator Dianne Feinstein,Dianne Feinstein,D
SteveKingIA,Steve King,Steve King,R
RepAlLawsonJr,US Rep. Al Lawson Jr,Al Lawson,D
RepRobWoodall,Rob Woodall,Rob Woodall,R
RepPaulTonko,Paul Tonko ,Paul Tonko,D
Palmer4Alabama,Gary Palmer,Gary Palmer,R
PeterRoskam,Peter Roskam,Peter Roskam,R
DonaldNorcross,Donald Norcross,Donald Norcross,D
xochnm,Xochitl Torres Small,Xochitl Torres Small,D
Perduesenate,David Perdue,David Perdue,R
PatTiberi,Pat Tiberi,Pat Tiberi,R
RepThompson,Mike (Wear A Mask) Thompson,Mike Thompson,D
DrPaulGosar,Paul Gosar,Paul Gosar,R
AdamSchiff,Adam Schiff,Adam Schiff,D
pallonefornj,"Frank Pallone, Jr.",Frank Pallone,D
RepDeanPhillips,Rep. Dean Phillips ,Dean Phillips,D
RobBishopUT,Bishop for Congress,Rob Bishop,R
RepMcGovern,Rep. Jim McGovern,Jim McGovern,D
RepKayGranger,Rep. Kay Granger,Kay Granger,R
RepMcKinley,David B. McKinley,David McKinley,R
RepVanTaylor,Rep Van Taylor,Van Taylor,R
dinatitus,Dina Titus,Dina Titus,D
RepDLamborn,Rep. Doug Lamborn,Doug Lamborn,R
GaryPeters,Gary Peters,Gary Peters,D
repdonyoung,Rep. Don Young,Don Young,R
RepDavidRouzer,David Rouzer,David Rouzer,R
GrothmanforWI,Glenn Grothman,Glenn Grothman,R
RepMGriffith,Morgan Griffith,Morgan Griffith,R
SenJohnKennedy,John Kennedy,John Kennedy,R
JoseSerranoBX,Jose E. Serrano,Jose E. Serrano,D
LloydSmuckerPA,Lloyd Smucker,Lloyd Smucker,R
SusanWBrooks,Susan W. Brooks,Susan Brooks,R
JerryNadler,(((Jerry Nadler))),Jerry Nadler,D
Troy_Balderson,Troy Balderson,Troy Balderson,R
RepHalRogers,Hal Rogers,Hal Rogers,R
RepSeanMaloney,Sean Patrick Maloney,Sean Patrick Maloney,D
RepRonKind,Rep. Ron Kind,Ron Kind,D
RepGallagher,Rep. Gallagher Press Office,Mike Gallagher,R
RepRickLarsen,Rep. Rick Larsen,Rick Larsen,D
RepKarenBass,Congressmember Bass,Karen Bass,D
LangevinForRI,LangevinForCongress,James Langevin,D
WilliamKeating,Bill Keating,Bill Keating,D
AnthonyBrownMD4,Anthony G. Brown,Anthony G. Brown,D
RepLoisFrankel,Rep. Lois Frankel,Lois Frankel,D
LisaForSenate,Lisa Murkowski,Lisa Murkowski,R
SenCortezMasto,Senator Cortez Masto,Catherine Cortez Masto,D
RepJoeWilson,Joe Wilson,Joe Wilson,R
RepAndyLevin,Rep. Andy Levin,Andy Levin,D
DaveForIowa,Dave Loebsack for Iowa,Dave Loebsack,D
RepDonBacon,Rep. Don Bacon,Don Bacon,R
Elizabeth_Esty,Elizabeth Esty,Elizabeth Esty,D
RepBera,"Ami Bera, M.D.",Ami Bera,D
Dr_RaulRuiz,Dr. Raul Ruiz,Raul Ruiz,D
SenatorWicker,Senator Roger Wicker,Roger Wicker,R
RepConorLamb,Conor Lamb,Conor Lamb,D
robportman,Rob Portman,Rob Portman,R
MariaCantwell,Maria Cantwell,Maria Cantwell,D
Maggie_Hassan,Maggie Hassan,Maggie Hassan,D
RepUnderwood,Rep. Lauren Underwood,Lauren Underwood,D
SenRonJohnson,Senator Ron Johnson,Ron Johnson,R
RepTomMacArthur,Archive: Tom MacArthur,Tom MacArthur,R
bradyfortexas,Kevin Brady for Congress,Kevin Brady,R
RepLowenthal,Rep. Alan Lowenthal,Alan Lowenthal,D
SenatorSinema,Kyrsten Sinema,Kyrsten Sinema,D
RepKathleenRice,Kathleen Rice,Kathleen Rice,D
jerrymcnerney,Jerry McNerney,Jerry McNerney,D
RepCardenas,Rep. Tony Cardenas,Tony Cardenas,D
RepJimRenacci,Rep. Jim Renacci,Jim Renacci,R
RepDWStweets,Rep. Debbie Wasserman Schultz,Debbie Wasserman Schultz,D
BenSasse,Ben Sasse,Ben Sasse,R
hakeemjeffries,Hakeem Jeffries,Hakeem Jeffries,D
SenDonnelly,Archive: Senator Joe Donnelly,Joe Donnelly,D
RepHanabusa,Colleen Hanabusa,Colleen Hanabusa,D
MichaelBennet,Michael Bennet,Michael Bennet,D
RepDavidYoung,David Young,David Young,R
Buddy_Carter,Buddy Carter,Buddy Carter,R
SenToddYoung,Senator Todd Young,Todd Young,R
RepArmstrongND,Congressman Kelly Armstrong,Kelly Armstrong,R
MikeRogersCamp,Mike Rogers Campaign,Mike Rogers,R
repjimcooper,Jim Cooper,Jim Cooper,D
RepArrington,Rep. Jodey Arrington,Jodey Arrington,R
CedricRichmond,Cedric Richmond,Cedric Richmond,D
DaveJoyceOH14,Just Dave,David Joyce,R
TGowdySC,Trey Gowdy,Trey Gowdy,R
RepHuizenga,Rep. Bill Huizenga,Bill Huizenga,R
MorganGriffith,Morgan Griffith,Morgan Griffith,R
BobBradyPHL,Congressman Bob Brady,Bob Brady,D
TimWalberg,Walberg for Congress,Tim Walberg,R
RepAlGreenTX,Congressman Al Green,Al Green,D
DebHaalandNM,Deb Haaland,Deb Haaland,D
TomColeOK04,Rep. Tom Cole,Tom Cole,R
RepBrindisi,Rep. Anthony Brindisi,Anthony Brindisi,D
RepRoybalAllard,Rep. Lucille Roybal-Allard,Lucille Roybal-Allard,D
JoshGottheimer,Josh Gottheimer,Josh Gottheimer,D
RepDanDonovan,Archive: Dan Donovan,Dan Donovan,R
ReElectCummings,Elijah E. Cummings,Elijah Cummings,D
DrPhilRoe,Dr. Phil Roe,Phil Roe,R
DonBeyerVA,Don Beyer,Don Beyer,D
RepSusanWild,Rep. Susan Wild,Susan Wild,D
Scotttaylorva,Scott Taylor,Scott Taylor,R
boblatta,U.S. Rep. Bob Latta,Bob Latta,R
BryanSteil,Bryan Steil,Bryan Steil,R
RepMoBrooks,Mo Brooks,Mo Brooks,R
RepHolding,Former Rep. George Holding,George Holding,R
RepBalderson,Congressman Troy Balderson,Troy Balderson,R
sethmoulton,Seth Moulton,Seth Moulton,D
StenyHoyer,Steny Hoyer,Steny Hoyer,D
RepAmata,Rep. Aumua Amata,Amata Coleman Radewagen,R
USRepGaryPalmer,Gary Palmer,Gary Palmer,R
RepDwightEvans,Congressman Dwight Evans,Dwight Evans,D
repdelgado,Congressman Antonio Delgado,Antonio Delgado,D
TulsiPress,Former Rep. Tulsi Gabbard,Tulsi Gabbard,D
DonnaShalala,Donna E. Shalala,Donna Shalala,D
BobbyScott,Rep. Bobby Scott,Bobby Scott,D
JudgeCarter,Judge Carter,John Carter,R
Marcy_Kaptur,Marcy Kaptur,Marcy Kaptur,D
repdinatitus,Dina Titus,Dina Titus,D
SenBillNelson,Bill Nelson,Bill Nelson,D
TimRyan,Tim Ryan,Tim Ryan,D
BobbyScott4VA3,Bobby Scott,Bobby Scott,D
CongressmanGT,Glenn 'GT' Thompson,Glenn Thompson,R
carbajalsalud,Salud Carbajal,Salud Carbajal,D
VoteTimmons,William Timmons,William Timmons,R
RepGarretGraves,Rep. Garret Graves,Garret Graves,R
GregForMontana,Greg Gianforte,Greg Gianforte,R
JaredHuffman,Rep. Jared Huffman,Jared Huffman,D
RepGregPence,Rep. Greg Pence,Greg Pence,R
RepStephenLynch,Rep. Stephen Lynch,Stephen F. Lynch,D
RandPaul,Senator Rand Paul,Rand Paul,R
CatherineForNV,Catherine Cortez Masto,Catherine Cortez Masto,D
Mike_CA05,Mike (Wear a Mask) Thompson,Mike Thompson,D
RepPeteStauber,Pete Stauber,Pete Stauber,R
RepAGonzalez,Rep. Anthony Gonzalez,Anthony Gonzalez,R
MikeLevin,Mike Levin,Mike Levin,D
JoaquinCastrotx,Joaquin Castro,Joaquin Castro,D
RepVeasey,Rep. Marc Veasey,Marc Veasey,D
PeteSessions,Pete Sessions,Pete Sessions,R
Nanette4CA,Nanette Barragan,Nanette Barragan,D
RepJimmyGomez,Rep. Jimmy Gomez,Jimmy Gomez,D
standwithraul,Rep. Raul Grijalva,Raul Grijalva,D
RepEscobar,Rep. Veronica Escobar,Veronica Escobar,D
RepTimWalz,Fmr. Rep. Tim Walz,Tim Walz,D
RepSteveChabot,Rep. Steve Chabot,Steve Chabot,R
RepTrey,Trey Hollingsworth,Trey Hollingsworth,R
gregstantonaz,Greg Stanton,Greg Stanton,D
timkaine,Tim Kaine,Tim Kaine,D
RepLujanGrisham,MichelleLujanGrisham,Michelle Lujan Grisham,D
gregwalden,Greg Walden,Greg Walden,R
TomReedCongress,Tom Reed,Tom Reed,R
JimInhofe,Sen. Jim Inhofe,Jim Inhofe,R
tommcclintock,Tom McClintock,Tom McClintock,R
Donald_McEachin,Donald McEachin,Donald McEachin,D
RepBradWenstrup,Rep. Brad Wenstrup,Brad Wenstrup,R
SenDanSullivan,Sen. Dan Sullivan,Dan Sullivan,R
HaleyLive,Haley Stevens,Haley Stevens,D
sendavidperdue,David Perdue,David Perdue,R
RepJackBergman,Rep. Jack Bergman,Jack Bergman,R
michaelgwaltz,Rep. Mike Waltz,Michael Waltz,R
RepBenCline,Congressman Ben Cline,Ben Cline,R
ChuckGrassley,ChuckGrassley,Chuck Grassley,R
Raul_Labrador,Raul R. Labrador,Raul Labrador,R
MikeCrapo,Senator Mike Crapo,Mike Crapo,R
JasonCrowCO,Jason Crow,Jason Crow,D
RepGoodlatte,Bob Goodlatte,Bob Goodlatte,R
RepStephMurphy,U.S. Rep. Stephanie Murphy,Stephanie Murphy,D
RepDannyDavis,Rep. Danny K. Davis,Danny K. Davis,D
JoeNeguse,Joe Neguse,Joe Neguse,D
rep_stevewomack,Rep. Steve Womack,Steve Womack,R
chelliepingree,Congresswoman Chellie Pingree,Chellie Pingree,D
RepRickAllen,Rick W. Allen,Rick W. Allen,R
standwithbarry,Barry Loudermilk,Barry Loudermilk,R
RepSchrader,Rep. Kurt Schrader,Kurt Schrader,D
TomCottonAR,Tom Cotton,Tom Cotton,R
RepDianeBlack,Diane Black,Diane Black,R
RepBryanSteil,Bryan Steil,Bryan Steil,R
RepJohnJoyce,John Joyce,John Joyce,R
RepDeSaulnier,Mark DeSaulnier,Mark DeSaulnier,D
DebFischerNE,Deb Fischer,Deb Fischer,R
RepWalberg,Rep Tim Walberg,Tim Walberg,R
RepBetoORourke,Rep. Beto O'Rourke,Beto O'Rourke,D
RepSamGraves,Rep. Sam Graves,Sam Graves,R
BrianMastFL,Brian Mast,Brian Mast,R
SenatorLoeffler,Senator Kelly Loeffler,Kelly Loeffler,R
RepAndyHarrisMD,"Rep. Andy Harris, MD",Andy Harris,R
RepJeffries,Hakeem Jeffries,Hakeem Jeffries,D
MarshaBlackburn,Sen. Marsha Blackburn,Marsha Blackburn,R
AndyKimNJ,Andy Kim,Andy Kim,D
RepHaleyStevens,Rep. Haley Stevens,Haley Stevens,D
chuckschumer,Chuck Schumer,Chuck Schumer,D
TomCarperforDE,Tom Carper,Tom Carper,D
stevestivers,Steve Stivers,Steve Stivers,R
BuckForColorado,Ken Buck,Ken Buck,R
RepCicilline,Cicilline Press Office,David Cicilline,D
SusieLeeNV,Susie Lee,Susie Lee,D
RobWittman,Rep. Rob Wittman,Rob Wittman,R
ScottPetersSD,Scott Peters,Scott Peters,D
Malinowski,Tom Malinowski,Tom Malinowski,D
DougJones,Doug Jones,Doug Jones,D
DarrellIssa,Darrell Issa,Darrell Issa,R
RepRichHudson,Richard Hudson,Richard Hudson,R
RepTedDeutch,Rep. Ted Deutch,Ted Deutch,D
Meuser4Congress,Dan Meuser,Dan Meuser,R
JenniferWexton,Jennifer Wexton,Jennifer Wexton,D
RepRaskin,Rep. Jamie Raskin,Jamie Raskin,D
ChuyForCongress,"Jesus ""Chuy"" Garcia","Jesus ""Chuy"" Garcia",D
valdemings,Val Demings,Val Demings,D
RepBarbaraLee,Rep. Barbara Lee,Barbara Lee,D
ConawayTX11,Mike Conaway,Mike Conaway,R
LacyClayMO1,Lacy Clay MO1st,Lacy Clay,D
RepJohnKatko,Rep. John Katko,John Katko,R
Rosa_DeLauro,Rosa DeLauro,Rosa DeLauro,D
RepFrankLucas,Frank Lucas,Frank Lucas,R
justinamash,Justin Amash,Justin Amash,R
Lizzie4Congress,Lizzie Pannill Fletcher,Lizzie Fletcher,D
LamarAlexander,Lamar Alexander,Lamar Alexander,R
RepLaHood,Darin LaHood,Darin LaHood,R
RepAdams,Rep. Alma Adams,Alma Adams,D
votemorelle,Joe Morelle,Joseph D. Morelle,D
RepCarbajal,Rep. Salud Carbajal,Salud Carbajal,D
RepLeeZeldin,Lee Zeldin,Lee Zeldin,R
CongMikeSimpson,Cong. Mike Simpson,Mike Simpson,R
RepDrewFerguson,Congressman Drew Ferguson,Drew Ferguson,R